name,price,moq,stock,description,category
Big Guiness,,,,,
Small Guiness,,,,,
Trophy,,,,,
Heineken,,,,,
Origin beer,,,,,
Origin Bitter,,,,,
Alomo Big,,,,,
Alomo Small,,,,,
Origin Bottle Spirit,,,,,
Action Bitter,,,,,
